p;fidelity-1;fidelity-2;fidelity-3;fidelity-4;fidelity-5;fidelity-6;fidelity-7;fidelity-8;fidelity-9;fidelity-10;;
-1.0;0.568914410828715;0.5709959175044155;0.5775438740105294;0.5764416169037587;0.5681201979626176;0.5718020945108575;0.574145586283124;0.5582226499553309;0.5902962767690075;0.6027844972453013;;
-0.9166666666666666;0.6080290616110363;0.6247060895966257;0.5926747622242152;0.6197995797344463;0.626952209559813;0.6309581233514681;0.6270763904164971;0.6253627745408559;0.604971862959562;0.6153623642920347;;
-0.8333333333333334;0.664110528900794;0.6723323196912595;0.684011922742502;0.6637968036483133;0.6654618384071189;0.6441421592565415;0.6487964529781305;0.650415126165132;0.656622907302253;0.6719221930828692;;
-0.75;0.7237532642060729;0.6854926085159387;0.7131717013030145;0.6992857301542894;0.7306377401508479;0.7012471069210902;0.704015524205053;0.7278323633707107;0.71249906580623;0.7290510534626338;;
-0.6666666666666667;0.7390289057109989;0.756887347476833;0.7363689728733986;0.7462700267298374;0.7386298484393922;0.7576111169116391;0.7585022144767709;0.7402618397691652;0.756772965540435;0.7471597994606332;;
-0.5833333333333334;0.8010670255253383;0.7763292750592119;0.788721011140637;0.7930143979791895;0.7836829616047076;0.7945494511020847;0.7809115603921176;0.7799791885091343;0.7696227961244042;0.7964991408671666;;
-0.5;0.8281324101435661;0.8270779268042372;0.8051508858691978;0.8105600077208485;0.8048582811564414;0.8196000604435427;0.8197745210821576;0.8253002797949831;0.8021388096736497;0.8280595035042243;;
-0.41666666666666674;0.8675274001607898;0.8477413378512147;0.8514539004089388;0.843491254642575;0.845533510160648;0.850423242000095;0.8498028629840036;0.8433308975684123;0.8571136597296276;0.8655130524266564;;
-0.33333333333333337;0.8840294424587783;0.8760444512171887;0.8631261923064868;0.8903156985039734;0.8672952319942763;0.8850788323760881;0.8704784001515828;0.8736301556487952;0.8711364249449971;0.8830755771762134;;
-0.25;0.8993940873361099;0.9022024385480594;0.9068303930170474;0.9055707174887063;0.8898630288261028;0.9129296758750015;0.877408860925212;0.9016195282452271;0.9030560796478022;0.9021529125676977;;
-0.16666666666666674;0.9270485948505812;0.9032302138876832;0.9102707430389285;0.9250932690590717;0.9267211549609706;0.9164490717582142;0.9262212823079278;0.9126590278787382;0.9307330026965581;0.918719733334043;;
-0.08333333333333337;0.9238950045908656;0.9445663540186681;0.9414551494688123;0.9355886374796748;0.9186476986441975;0.9235444810128449;0.9198170735481759;0.944857332998376;0.9342889828162931;0.9354781672265597;;
0.0;0.9258817225664515;0.9393150333862783;0.9337429314534098;0.9355526759114878;0.9350945668974391;0.9331649889666559;0.9310483432503395;0.9318034062493646;0.9339527382774218;0.9256144719868974;;
0.08333333333333326;0.9167118018738639;0.9139400215721639;0.9186243842369836;0.9217838757462592;0.9203923335717865;0.9064516026018601;0.9130317384695825;0.9114518215898123;0.9247672635190616;0.9203877956336979;;
0.16666666666666652;0.8942847658003922;0.8974242115730183;0.8944320223933593;0.8831020558162157;0.8965926449362353;0.8919173713736346;0.8980936133499335;0.8892050162242662;0.8959780356808292;0.8915494945968399;;
0.25;0.8735910889379723;0.8733151655984265;0.866046637854009;0.8752409695536627;0.8736598320655901;0.8750872590818096;0.8824588732555236;0.8633659971369183;0.8785246698175697;0.8673252669734193;;
0.33333333333333326;0.8362892754133855;0.839711058449118;0.857604070529834;0.8408316681273;0.841767168109735;0.8472119697539269;0.8466738322268132;0.8569949336053415;0.8470353108302149;0.8430778296944006;;
0.4166666666666665;0.8197338812256754;0.8207866392014866;0.8237383975285366;0.8114228927912616;0.8171438492335564;0.8264574099134441;0.8301074873301932;0.821549738307973;0.8214025712915093;0.8201041434393289;;
0.5;0.7881612906088253;0.7965598880991679;0.7930262984220778;0.7762595677328149;0.781150580794914;0.7984048357242446;0.7849093548383752;0.7907322953167758;0.7917449718688523;0.7871726974416222;;
0.5833333333333333;0.7524751689720949;0.7407519285537987;0.7423867165495535;0.74426921229983;0.7551334197305726;0.7692866291285183;0.7675549384956265;0.7538207906470954;0.7499907631880941;0.754773088360056;;
0.6666666666666665;0.7256701654886568;0.7201008032403382;0.7367744897025199;0.7130665012610697;0.6943429261381966;0.6952004570326498;0.7166150090441183;0.7137662926367431;0.7127703990393024;0.7104618725515937;;
0.75;0.6579783569631263;0.6661153775922174;0.6648051364878009;0.6777522906405906;0.6543791258434294;0.6662339293275161;0.6720358056952401;0.6565424479275066;0.6687471105834881;0.6758484506703738;;
0.8333333333333333;0.6265864619472759;0.6245487920855162;0.6231974889141052;0.6403502462052066;0.6276299522098441;0.6278884725269921;0.6177649133334124;0.6108577488356778;0.6068762595650301;0.6150258106894508;;
0.9166666666666665;0.591928508284026;0.5826820852327077;0.5795546755156614;0.5656571503772305;0.5632837800939496;0.5790354245943652;0.5699521523463889;0.5717601795204351;0.582593054874186;0.580503597016349;;
1.0;0.5280749750934963;0.5335428605476185;0.5195464830836398;0.5115157783569022;0.5442716477878708;0.5249778689501876;0.5025045514643485;0.5451326149961422;0.5109159590033645;0.53852044332987;;
